username,handle,full_text,time,cleaned_tweet,translated_tweet,textblob_sentiment
"my Little Strawberry
@RorryCraft
·
Jun 5, 2015",,"#Rorry_Kitchen ^__,^

#Wisata #kuliner 6 Tempat #Makan #Indomie yang #Enak Banget di #jakarta
♡ http://fb.me/6A4GHs9dm",2015-06-04T22:19:36.000Z,rorry kitchen wisata kuliner 6 makan indomie enak banget jakarta,Rorry Kitchen culinary tour 6 really delicious Indomie meals in Jakarta,positive
"Tora | Food & Travel Blogger
@AdheTora
·
Apr 26, 2015",,SALAH BANGET search hestek #indomie di instagram jam segini ,2015-04-26T12:45:34.000Z,salah banget search hestek indomie instagram jam segini,It's really wrong to search for Hestek Indomie Instagram at this time,negative
"Dharu Kusuma Hady
@dharukusumahady
·
May 15, 2015",,"Sarapan pagi ini dipersembahkan oleh #Indomie Taste of Asia Rasa Laksa Khas Singapura! Udah gak puasa #Indomie lagi! :D Cc: 
@fentari
 
@ndy_88",2015-05-15T00:55:48.000Z,sarapan pagi dipersembahkan indomie taste of asia laksa khas singapura udah gak puasa indomie d cc fentari ndy 88,Breakfast served Indomie Taste of Asia Singapore specialty Laksa I'm not fasting Indomie D CC Fentari Ndy 88,neutral
"natalia widjaja
@nata_gerrard
·
Aug 6, 2015",,"Orang apa monster yak 
#dinner #minto #benhil #nasgor #indomie #sateayam https://instagram.com/p/6ApdYXlz0Z/",2015-08-05T17:30:10.000Z,orang monster yak dinner minto benhil nasgor indomie sateayam,monster people yak dinner minto benhil nasgor indomie chicken satay,negative
"TaniaMila
@milatania1
·
Aug 15, 2015",,Abis pasang Bendera...jd bru mau mkn siang ...Menu a + #Indomie sm #Kopiko78°C...Sederhana tp… https://instagram.com/p/6ZM4otBvBF/,2015-08-15T06:21:30.000Z,abis pasang bendera jd bru mkn siang menu a indomie sm kopiko78 c sederhana tp,"After putting up the flag, we had lunch, menu a Indomie sm kopiko78 c simple but",neutral
"Dharu Kusuma Hady
@dharukusumahady
·
Jun 18, 2015",,"Karna tertulis ini telor² bakal expired besok, maka pagi ini sarapannya makan #Indomie spesial pake 2 telor! :D #ItsCookingTime #AnakRantau",2015-06-18T01:54:34.000Z,karna tertulis telor expired besok pagi sarapannya makan indomie spesial pake 2 telor d itscookingtime anakrantau,"because it says the eggs expire tomorrow morning for breakfast, eat special Indomie using 2 eggs at itscookingtime anakrantau",positive
"Wanti Mauricio
@WantiMauricio
·
Jul 19, 2015",,"Menu special lebaran, yg tak terlupakan  #indomie #indomiegoreng #lebaran #idulfitri https://instagram.com/p/5UjqwoE6kk/",2015-07-19T14:32:59.000Z,menu special lebaran yg terlupakan indomie indomiegoreng lebaran idulfitri,Eid special menu that was forgotten Indomie Fried Indomie Idul Fitri Eid,positive
"Rani Kurniasih
@ranirano
·
May 25, 2015",,"Ini apa ya warunk_upnormal ?

#instafood #indomie #noodle #kuliner https://instagram.com/p/3GvcPrx5C8/",2015-05-25T12:43:42.000Z,ya warunk upnormal instafood indomie noodle kuliner,yes Warunk Upnormal Instafood Indomie Noodle Culinary,neutral
"Raja Lucu
@raja_lucu
·
Jan 31, 2015",,Kehidupan anak kos #tanggaltua #anakkos #indomie,2015-01-31T00:35:39.000Z,kehidupan anak ko tanggaltua anakkos indomie,"the life of a boarding house child, the old date of an Indomie boarding house child",positive
"...
@ItzZikar
·
Mar 27, 2015",,E ma ji jo mi oo.. Ke ma lo bi ti indomie ooo... #Indomie nyc jam MasterKraft Ft Olamide,2015-03-27T11:46:43.000Z,e ma ji jo mi oo ma lo bi ti indomie ooo indomie nyc jam masterkraft ft olamide,e ma ji jo mi oo ma lo bi ti indomie ooo indomie nyc jam masterkraft ft olamide,neutral
"Indomaret
@Indomaret
·
Mar 9, 2015",,#BerburuiKupon 1) Belanja minimal Rp 10Rb produk #Indomie JagonyaSoto dapatkan kode iKupon di ekor struk.,2015-03-09T09:00:18.000Z,berburuikupon 1 belanja minimal rp 10rb produk indomie jagonyasoto dapatkan kode ikupon ekor struk,hunticoupon 1 minimum purchase of IDR 10 thousand Indomie jagonyasoto products get icoupon code tail receipt,neutral
"yosuno 
@yosunoku
·
Feb 7, 2015",,"Makan siang dengan #indomie, setidaknya itu produk nasional, tdk seperti Proton",2015-02-07T11:45:40.000Z,makan siang indomie produk nasional tdk proton,"Indomie lunch, national product without proton",neutral
username,handle,content,time,content,content,neutral
"Dharu Kusuma Hady
@dharukusumahady
·
Mar 26, 2015",,"Ah, 2 hari berturutan makan #Indomie sebagai 'cemilan' sore...Delicious? Yes! Healthy? No! #AnakRantau",2015-03-26T09:03:22.000Z,ah 2 berturutan makan indomie cemilan sore delicious yes healthy no anakrantau,ah 2nd time in a row eating Indomie afternoon snack delicious yes healthy no anakrantau,positive
"Dharu Kusuma Hady
@dharukusumahady
·
Mar 4, 2015",,Masak #Indomie rasa Soto Banjar Limau Kulit sambil 'maenan' mesin cuci itu #AnakRantau banget... :D,2015-03-04T15:10:51.000Z,masak indomie soto banjar limau kulit maenan mesin cuci anakrantau banget d,cooking Indomie Soto Banjar Lime Skin playing with the washing machine in very remote areas d,negative
"Mamethoo Elnino
@mamethooelnino
·
Feb 15, 2015",,Apa mau dikata tiba laper lagi  #supper #indomie #foods #foodie #foodporn #instafood http://instagram.com/p/zFrZOEwWBS/,2015-02-14T16:43:31.000Z,dikata laper supper indomie food foodie foodporn instafood,it's called hungry supper indomie food foodie foodporn instafood,neutral
"Jurnal Selatan
@jurnalselatan
·
Feb 14, 2015",,"Apakah kamu ""warga dunia"" tapi masih ngiler membayangkan #indomie di waktu hujan? http://bit.ly/jrnlsltn #Selatan",2015-02-14T09:00:19.000Z,warga dunia ngiler membayangkan indomie hujan selatan,The world's citizens drool at the thought of southern rainy Indomie,neutral
"Under Pleasure
@TjapLokoBali
·
Feb 25, 2015",,"Kombinasi pas tengah malam, teh poci featuring indomie goreng telor. Yummy!

#indomie #seminyak #bali #supper",2015-02-25T15:19:33.000Z,kombinasi pa malam teh poci featuring indomie goreng telor yummy indomie seminyak bali supper,"combination of night tea pots featuring Indomie fried egg, yummy Indomie Seminyak Bali supper",neutral
"Randomly Published Moment
@fiftwitty
·
Jan 30, 2015",,Indomi-nus Rex? #Indomie,2015-01-30T15:47:58.000Z,indomi nu rex indomie,Indominus Rex Indomie,neutral
"Rani Kurniasih
@ranirano
·
Nov 10, 2014",,"Rangga? Cinta? Ke 
@warunk_upnormal
 yuuuuk tangga 12 November 2014, Free #indomie & es teh manis loooh",2014-11-10T06:37:15.000Z,rangga cinta warunk upnormal yuuuuk tangga 12 november 2014 free indomie e teh manis loooh,Rangga Cinta Warunk Upnormal Yuuuuk Tangga 12 November 2014 Free Indomie e Sweet Tea loooh,positive
"ACIL EMCE
@ACILEMCEE
·
Nov 20, 2014",,Hujan gini seleraku ya #Indomie :),2014-11-19T16:38:22.000Z,hujan gini seleraku ya indomie,"This kind of rain is my taste, Indomie",positive
"LEFTYY™
@General_Leftyy
·
Oct 31, 2014",,"Ntalala njaa “
@super_faker
: #WifeMaterial ndo napika #indomie for super”",2014-10-30T19:14:55.000Z,ntalala njaa super faker wifematerial ndo napika indomie for super,ntalala njaa super faker wifematerial ndo napika indomie for super,positive
"Ice Cream Cone
@AnIceCreamCone
·
Jan 3, 2015",,"Love to find pics of me! (not my pic) Nah kalo ini menu makanannya kakak..
Harganya pelajar bgt..
#siomay #tempura #indomie #kakinaga #so...",2015-01-03T11:50:45.000Z,love to find pic of me not my pic kalo menu makanannya kakak harganya pelajar bgt siomay tempura indomie kakinaga so,love to find pic of me not my pic if the food menu bro the price is really student siomay tempura indomie kakinaga so,positive
"Wh!te man Bl∆¢k bod¥ 
@Lugowhite
·
Nov 13, 2014",,"#turnup ema ji jo mi o kema lo bi ti #indomie #indomie #indomie 
@olamide_YBNL
 #masterkraft cdq ye ye",2014-11-13T10:45:55.000Z,turnup ema ji jo mi o kema lo bi ti indomie indomie indomie olamide ybnl masterkraft cdq ye ye,turnup ema ji jo mi o kema lo bi ti indomie indomie indomie olamide ybnl masterkraft cdq ye ye,neutral
"iqbal hanafi
@iqbalhans
·
Nov 8, 2014",,Sarapan pagi ini #indomie #goreng & teh panas  http://instagram.com/p/vHz61VxpZo/,2014-11-08T02:30:55.000Z,sarapan pagi indomie goreng teh panas,breakfast of fried Indomie hot tea,positive
"EMMANI VIBES
@iam_Emmani
·
Dec 13, 2014",,"Shama ji jo mi o... #Indomie cc 
@masterkraft_
 #BadBoss",2014-12-13T14:10:48.000Z,shama ji jo mi o indomie cc masterkraft badboss,shama ji jo mi o indomie cc masterkraft badboss,neutral
"handoko
@bayusayekti
·
Nov 29, 2014",,The dark side of akhir bulan #indomie,2014-11-28T17:26:13.000Z,the dark side of indomie,the dark side of indomie,negative
username,handle,content,time,content,content,neutral
"IG: KulinerCirebon
@KulinerCirebon
·
Nov 2, 2014",,"Di 
@MEE_Time
  ada #indomie goreng/rebus,roti bakar, kopi hitam, aneka juss dll! #kulinercirebon """,2014-11-02T03:12:30.000Z,mee time indomie goreng rebus roti bakar kopi hitam aneka juss dll kulinercirebon,mee time indomie fried boiled toast black coffee various juices etc culinary Cirebon,negative
"Pit
@f3_fiitriiaanaa
·
Nov 29, 2014",,"kalau ada #Indomie sama 
@SambalABC
 aman mi itu.. hihi mari makaaann",2014-11-28T17:45:14.000Z,indomie sambalabc aman mi hihi mari makaaann,Indomie sambal abc is safe mi hihi let's eat,positive
"Katapedia Indonesia
@Katapedia_ID
·
Dec 10, 2014",,"Hasil #Monitoring http://katapedia.co.id tgl 24nov - 6des #brand #indomie Total buzz #twitter 502 
@indomielovers",2014-12-10T15:33:17.000Z,hasil monitoring tgl 24nov 6des brand indomie total buzz twitter 502 indomielovers,monitoring results on 24 nov 6 dec brand indomie total buzz twitter 502 indomielovers,neutral
"Dharu Kusuma Hady
@dharukusumahady
·
Dec 3, 2014",,Seperti pagi ini dimana sarapan pake #Indomie mi instant Soto Banjar Limau Kulit khas Kalimantan Selatan... :D #AnakRantau #ItsCookingTime,2014-12-02T23:05:46.000Z,pagi dimana sarapan pake indomie mi instant soto banjar limau kulit khas kalimantan selatan d anakrantau itscookingtime,"In the morning, breakfast with Indomie instant noodles, Soto Banjar Lime Skin, typical of South Kalimantan in Anakrantau, Its Cooking Time",negative
"Alfiyah Sukma
@alfiyahsukma
·
Dec 3, 2014",,"Mirip kan?
#mixdinner #mixdiner #indomieseleraku #indomie #indomiemiripasli #nomnom… http://instagram.com/p/wHQCsIiBar/",2014-12-02T17:48:48.000Z,mixdinner mixdiner indomieseleraku indomie indomiemiripasli nomnom,mixdinner mix diner Indomie My taste is Indomie Indomie is similar to the original Nomnom,positive
"Didi FadilahOfficial
@Didi_FadilMo
·
Jan 4, 2015",,Yummy makan indomie  #indomie lagi pengeen #likeforlike #likeforfollow #instavideo… http://instagram.com/p/xZz2nCl47p/,2015-01-03T19:19:27.000Z,yummy makan indomie indomie pengeen likeforlike likeforfollow instavideo,yummy eating indomie indomie want to likeforlike likeforfollow instavideo,neutral
"Novri S
@Novri_ta
·
Aug 21, 2014",,#Indomie rasa Soto Lamongan. Baru sekali ini nyicip. Ada pelengkap : ayam n seledri kering jg bubuk koya,2014-08-21T12:53:25.000Z,indomie soto lamongan nyicip pelengkap ayam n seledri kering jg bubuk koya,Indomie soto lamongan tastes accompaniment with chicken and dried celery and koya powder,negative
"Timothy W. Pawiro
@timo_wp
·
Sep 6, 2014",,"Hayooo ngakuuu uda makan brp #indomie minggu iniiii  | 

#food #noodle",2014-09-05T16:17:07.000Z,hayooo ngakuuu uda makan brp indomie minggu iniiii food noodle,"Come on, I'll admit that I've eaten a lot of Indomie food noodles this week",neutral
"Timothy W. Pawiro
@timo_wp
·
Aug 30, 2014",,"Yuk makan lagi! 
@PergiDulu
 
@lohsharon
 - with 
@kitajimaland
 
@Ardiduck
 #indomie #food",2014-08-29T16:28:10.000Z,yuk makan pergidulu lohsharon with kitajimaland ardiduck indomie food,"Come on, let's go eat first, Sharon with Kitajima Land Ardi Duck Indomie Food",positive
username,handle,content,time,content,content,neutral
"Timothy W. Pawiro
@timo_wp
·
Aug 30, 2014",,"Yuk makan lagi! 
@PergiDulu
 
@lohsharon
 - with 
@kitajimaland
 
@Ardiduck
 #indomie #food",2014-08-29T16:28:10.000Z,yuk makan pergidulu lohsharon with kitajimaland ardiduck indomie food,"Come on, let's go eat first, Sharon with Kitajima Land Ardi Duck Indomie Food",positive
"Novi Sri Septi
@Novi_xenophone
·
Aug 15, 2014",,Beda itu memisahkan..dari cinta menjadi benci #indomie ,2014-08-15T02:18:21.000Z,beda memisahkan cinta benci indomie,Differences separate love and hate Indomie,negative
"JO
@JDSTR_
·
Sep 27, 2014",,Ini ceritaku mana ceritamu #Indomie ,2014-09-27T07:22:30.000Z,ceritaku ceritamu indomie,my story is your story Indomie,neutral
"denol
@deniverdana
·
Aug 10, 2014",,Bersama #Indomie hadirkan kebersamaan ditengah perbedaan*,2014-08-10T14:09:48.000Z,indomie hadirkan kebersamaan ditengah perbedaan,Indomie presents togetherness amidst differences,neutral
"Fuji Abnur
@F_Abnur
·
Aug 9, 2014",,"Bhinneka tunggal rasa.
Berbeda-beda tp satu selera.   
#Indomie",2014-08-09T01:44:19.000Z,bhinneka tunggal berbeda beda tp selera indomie,Bhinneka Tunggal is different but Indomie tastes,neutral
"#PesanSambat 
@akhiri__
·
Aug 30, 2014",,"Hidup itu seperti minyak dan air, walaupun susah bersatu tapi tetap berdampingan #indomie",2014-08-29T23:58:45.000Z,hidup minyak air susah bersatu berdampingan indomie,"Life, oil and water, is difficult to unite side by side with Indomie",negative
"Metaanggrainii
@metaanggrainii
·
Oct 2, 2014",,"With septa_afriyani @yuniyaniarti 
@hafilahalaini
 
@riindhawae
 dewi #indofood #indomie #seleranusantara… http://instagram.com/p/tpqBtmPSmJ/",2014-10-02T12:55:52.000Z,with septum afriyani yuniyaniarti hafilahalaini riindhawae dewi indofood indomie seleranusantara,with septum afriyani yuniyaniarti hafilahalaini riindhawae goddess indofood indomie jasanusantara,neutral
"Dharu Kusuma Hady
@dharukusumahady
·
Sep 10, 2014",,"Tetiba abis mandi malah malas buat belanja karna inget semalam udah beli #Indomie varian baru, rasa dendeng balado & soto Lamongan! :D",2014-09-09T22:59:14.000Z,tetiba abis mandi malas belanja karna inget semalam udah beli indomie varian dendeng balado soto lamongan d,"suddenly after taking a shower I was too lazy to shop because I remembered that last night I had bought Indomie, a variant of balado jerky, soto lamongan d",negative
"Chintya Utama
@Chintya_Utama
·
Sep 23, 2014",,"""Komplit itu saat air dan minyak saling berdampingan #indomie RT 
@denhy_p
: Komplit tu saling melengkapi bukan beb?",2014-09-22T16:23:04.000Z,komplit air minyak berdampingan indomie rt denhy p komplit tu melengkapi beb,complete water oil side by side indomie rt denhy p complete complete beb,positive
"Indomie
@Indomielovers
·
Aug 14, 2014",,"Wah, ada yang pernah nyoba juga ga? RT @arianti24: Alhamdulillah Selamat makan! 
@Indomielovers
 
#Indomie  #SatePadang https://pic.x.com/bptrwrtqln",2014-08-14T04:22:19.000Z,nyoba ga rt arianti24 alhamdulillah selamat makan indomielovers indomie satepadang,try not to eat arianti 24 thank God enjoy eating Indomie lovers Indomie Sate Padang,positive
"Dharu Kusuma Hady
@dharukusumahady
·
Sep 10, 2014",,Masak #Indomie aja ah buat sarapan pagi ini...Hitung² berhemat! Wuihihi... :p #ItsCookingTime,2014-09-09T22:59:57.000Z,masak indomie aja ah sarapan pagi hitung berhemat wuihihi p itscookingtime,"Just cook Indomie, ah, breakfast, count on saving wuihihi p its cooking time",neutral
"Janeth Suebu
@enggo_insose10
·
Aug 27, 2014",,"Perbadaan itu, sperti Air & Minyak .. 
sulit bersatu, namun bisa brdmpingan ..

#Indomie. :-D",2014-08-26T23:58:51.000Z,perbadaan sperti air minyak sulit bersatu brdmpingan indomie d,differences like oil and water are difficult to unite side by side Indomie d,negative
"K L V F N 
@calvfinka
·
Sep 21, 2014",,soundtrack iklan #Indomie ada yg tau ga yah apa?,2014-09-21T08:28:48.000Z,soundtrack iklan indomie yg tau ga yah,Do you know the Indomie advertising soundtrack?,neutral
"Isak Rahman
@isakrahman
·
Sep 13, 2014",,Satnight.. ya makan yg beginian #Indomie #bulgogi #tasteofasia  [pic] — https://path.com/p/4pKqL3,2014-09-13T11:41:45.000Z,satnight ya makan yg indomie bulgogi tasteofasia pic,"Saturday night, eat Indomie Bulgogi tasteofasia pic",neutral
"Ksatria Legendaris
@MazWherr_
·
Oct 14, 2014",,Apa aku haruz jadii #indomie biar jadi seleramu,2014-10-14T06:26:09.000Z,haruz jadii indomie biar seleramu,It has to be Indomie for your taste,neutral
"NATASHAsungkari
@NATASHAsungkari
·
Aug 19, 2014",,Cinta produk Indonesia #vscocam #foodporn #indomie #indonesia #noodle http://instagram.com/p/r3K3WSju4S/,2014-08-19T01:50:08.000Z,cinta produk indonesia vscocam foodporn indomie indonesia noodle,love Indonesian products vscocam foodporn indomie indonesia noodle,positive
"Nasi Gemuk Citra 2
@NasmukCitra2
·
Aug 19, 2014",,"Serupuuuut #indomie pakai #CADAS
Thank youuu yaa :) 

#breakfast #sarapanpagi #maksi #makansiang… http://instagram.com/p/r3nEiRERxz/",2014-08-19T05:56:37.000Z,serupuuuut indomie pakai cadas thank youuu yaa breakfast sarapanpagi maksi makansiang,Serpuut Indomie using cadas thank you yes breakfast breakfast maxi lunch,neutral
"R Hendrik Yulhan B P
@rhybp
·
Aug 20, 2014",,"Untuk mereka yang sibuk mencari cara memaknai arti hidup, cobalah untuk berbagi. #indomie #seleraku",2014-08-19T18:34:30.000Z,sibuk mencari memaknai arti hidup cobalah berbagi indomie seleraku,"busy looking for the meaning of life, try sharing my taste of Indomie",positive
"Abang Medan
@AbangMDN
·
Apr 6, 2014",,Engkau lah pahlawan ku disaat aku lapar #intel #indomie #telor,2014-04-06T10:35:36.000Z,engkau pahlawan ku disaat lapar intel indomie telor,you are my hero when I am hungry for Intel Indomie Telor,neutral
"Tino Mandagi
@tmandagi
·
Jun 18, 2014",,Sponsor Bola World Cup #indomie tp gw tetep pilih Mie Sedaap Kari Ayam artinya beriklan di #antv n #tvone gk efektif,2014-06-17T18:27:05.000Z,sponsor bola world cup indomie tp gw tetep pilih mie sedaap kari ayam beriklan antv n tvone gk efektif,Indomie World Cup football sponsor but I still choose Noodle Sedaap Chicken Curry advertising for ANTV and TVone is not effective,negative
username,handle,content,time,content,content,neutral
"jempoll njepatt 
@QULATIEF
·
Feb 16, 2014",,*ceritane megap-megap lan irung mellerrr kepedesen mangan kiye* #indomie #bulgogi #dinner #caberawit,2014-02-16T14:03:26.000Z,ceritane megap megap lan irung mellerrr kepedesen mangan kiye indomie bulgogi dinner caberawit,the story is gasping and irung melerrr the spiciness of the manganese kiye indomie bulgogi dinner caberawit,neutral
"BarBie Nouva
@Barbienouva
·
Apr 5, 2014",,Terbayar sudah kerinduanku pada #indomie goreng sambel ijo. Selama di LN susah nemunya.skrg puas bgt 2 bungkus sxgus,2014-04-05T04:00:59.000Z,terbayar kerinduanku indomie goreng sambel ijo ln susah nemunya skrg puas bgt 2 bungkus sxgus,"My longing for Indomie fried with green chili sauce has been paid off, it's hard to find it, now I'm really satisfied, 2 packs of Sxgus",positive
"#CHIPS
@adesapph
·
Feb 23, 2014",,#Indomie alata,2014-02-22T17:33:28.000Z,indomie alata,Indomie Alata,neutral
"Angga Abdurrahman
@anggaom37
·
Feb 6, 2014",,"Rumah rasa kost, mie apa aja ada -__- #indomie http://instagram.com/p/kFF2U9mPN1/",2014-02-06T15:24:32.000Z,rumah kost mie aja indomie,just an Indomie boarding house,neutral
"Humairah
@hh_utiarahman
·
Mar 29, 2014",,Sarapan makanan Indonesia Raya dulu. #Indomie,2014-03-29T01:12:46.000Z,sarapan makanan indonesia raya indomie,Indonesian food breakfast Raya Indomie,neutral
"ネイラ
@Angelchantiq
·
Feb 12, 2014",,Lapar sama nafsu itu beda tipis yaa. (Abiz nostalgia sama #indomie ngabisin mie goreng 2 bungkus sendiri) ,2014-02-12T12:41:45.000Z,lapar nafsu beda tipi yaa abiz nostalgia indomie ngabisin mie goreng 2 bungkus,"I'm hungry, my appetite is different, I'm nostalgic for Indomie, I finished off 2 packs of fried noodles",negative
"Nina Veronika
@Nina_Veronika
·
Mar 9, 2014",,Indomie Goreng :9 #Indomie #Goreng #Indonesia #Food #MSG #Delicious http://instagram.com/p/lUjpJullsT/,2014-03-09T12:04:52.000Z,indomie goreng 9 indomie goreng indonesia food msg delicious,fried indomie 9 Indonesian fried indomie food msg delicious,positive
"#GembelElite research
@HartoMalau
·
Mar 27, 2014",,Mari Meng-Indomie... *Makan #Indomie kawan-kawan... :),2014-03-27T14:50:51.000Z,mari meng indomie makan indomie kawan kawan,"Let's eat Indomie, friends",neutral
"Vincentia A Paulo
@Vinaakuunn
·
Mar 27, 2014",,Akhirnya dh lama ga mkn mie goreng indomie hihi..  #latepost #eat #hungry #indomie #miegoreng… http://instagram.com/p/mCidnkhNcq/,2014-03-27T08:39:38.000Z,dh ga mkn mie goreng indomie hihi latepost eat hungry indomie miegoreng,I haven't eaten Indomie fried noodles hihi latepost eat hungry Indomie miegoreng,neutral
"BarBie Nouva
@Barbienouva
·
Jan 30, 2014",,"Kalau ketemu bagian promosi #indomie, bisa di jadiin bintang utama sy in, scra mencintai #indomie tk terhingga, sdh 1 mgg menu sy #indomie",2014-01-30T13:22:00.000Z,ketemu promosi indomie jadiin bintang utama sy in scra mencintai indomie tk terhingga sdh 1 mgg menu sy indomie,"met Indomie's promotion, become the main star, I love Indomie, kindergarten, already 1 week, Indomie's menu",positive
"Kingz Of #pchgtswg
@puchongotswag
·
Mar 25, 2014",,New sensation hipster food sebelum jadi mainstream serious nanti jadi mainstream percayalah. #indomie… http://instagram.com/p/l7rQMMM1xQ/,2014-03-24T16:41:46.000Z,new sensation hipster food mainstream serious mainstream percayalah indomie,new sensation hipster food mainstream serious mainstream believe indomie,negative
"Nhovri hilman
@opiih
·
Jan 29, 2014",,Kerupuk putih 2 pake saus sambel! #laper tanpa #indomie,2014-01-28T18:33:12.000Z,kerupuk putih 2 pake saus sambel laper indomie,2 white crackers with Indomie hungry chili sauce,neutral
"˙˚ 𓆩 YURIKO 𓆪 ˚˙
@byyuriko
·
Feb 25, 2014",,"mie persis bungkus nya nihh guys 
@TELAPI12
 #ayambawang #indomie http://instagram.com/p/k1Aaw8Efwq/",2014-02-25T06:00:37.000Z,mie persis bungkus nya nihh guy telapi12 ayambawang indomie,"The noodles are exactly the way they are wrapped, guys, telapi12 Indomie garlic chicken",negative
"mr..fun
@luckydeVAn
·
Mar 4, 2014",,Blom dikasih judul! #indomie #love #food http://instagram.com/p/lFvQffSHIj/,2014-03-03T17:57:46.000Z,blom dikasih judul indomie love food,The title Indomie Love Food hasn't been given yet,positive
"Rahmi Zantia Utami
@rahmizantiaa
·
Feb 6, 2014",,Iga iga apa yang ga enak ? iiii gantung . Muahahahaa #iklan #indomie,2014-02-06T00:34:30.000Z,iga iga ga enak iiii gantung muahahahaa iklan indomie,the ribs are not delicious iiii hanging muahahahaa Indomie advertisement,negative
"i'AmSiKay
@Ardhy_BJ
·
Mar 9, 2014",,Resiko ditinggal mamake #Indomie,2014-03-09T03:42:39.000Z,resiko ditinggal mamake indomie,the risk of being left behind by Indomie's mother,negative
"Kashif Malim
@KashifMalim
·
Mar 12, 2014",,Foooood! #Food #Noodles #IndoMie #Hunger @ Allama Iqbal Town http://instagram.com/p/la92uNw8nH/,2014-03-11T23:49:22.000Z,foooood food noodle indomie hunger allama iqbal town,foooood food noodle indomie hunger allama iqbal town,neutral
"𝒮𝒾𝓃𝓉𝒶 𝒜𝓎𝓊 ℛ
@rsintaayu26
·
Feb 10, 2014",,Dingin dingin nyarap mie. Gpp deh ya~~ #indomie#indomierasaayam#chicken#instafood http://instagram.com/p/kOFMsGx8hl/,2014-02-10T03:12:00.000Z,dingin dingin nyarap mie gpp deh ya indomie indomierasaayam chicken instafood,"cold, cold, it's okay to eat noodles, indomie indomierasachicken chicken instafood",negative
"FRO1602
@FRO_ro
·
Feb 3, 2014",,Namie Goreng Iga Penyet :D menu kreasi dari #Indomie #IgaPenyet #Makan #Malam #Masak #Namie #Wareg http://instagram.com/p/j7ZaRDGTMH/,2014-02-02T21:03:04.000Z,namie goreng iga penyet d menu kreasi indomie igapenyet makan malam masak namie wareg,fried namie rib penyet on the Indomie creation menu rib penyet dinner cooked by namie wareg,neutral
"serlyhumairoh
@serlyhumairoh
·
Mar 15, 2014",,mie merubah segalanya termasuk??? Ndutt-o-   #indomie @ irigasi http://instagram.com/p/lh3VfZldhB/,2014-03-14T16:07:05.000Z,mie merubah ndutt o indomie irigasi,noodles change ndutt o indomie irrigation,neutral
"BJ
@BjWR
·
Jan 6, 2014",,persiapan streaming sendirian #juve #AnakKost #Ultras #indomie #Beer #Gue #GaJELAS !!,2014-01-05T19:20:31.000Z,persiapan streaming juve anakkost ultras indomie beer gue gajelas,My preparations for streaming Juve Anakkost Ultras Indomie Beer are not clear,negative
username,handle,content,time,content,content,neutral
"TataKBJ_smrnda
@tata_kbj
·
Dec 26, 2013",,Mikope(mie kol pedas)mnu sdrhna nikmatx luar biasa ala chef tata #indomie goreng,2013-12-26T13:36:51.000Z,mikope mie kol pedas mnu sdrhna nikmatx ala chef tata indomie goreng,"Mike Spicy Cabbage Noodles is a simple, delicious menu styled by Chef Tata's Fried Indomie",positive
"P I C U P
@Liikeee
·
Jan 3, 2014",,"icip kaks RT 
@timothywpawiro
: Masak #indomie aja heboh tapi #enak nih!! Selamat makan!! #cooking #noodle",2014-01-02T16:35:37.000Z,icip kaks rt timothywpawiro masak indomie aja heboh enak nih selamat makan cooking noodle,"Taste RT Timothy Prawiro's t-shirt, just cook Indomie, it's really exciting, enjoy eating cooking noodles",positive
"Dina Oktaviany
@celoteholic
·
Jan 11, 2014",,Photo: Nikmat indomir telor rebus manakah yang kamu dustakan di tengah guyuran hujan? #indomie #culinary... http://tmblr.co/ZRLOMy13xctci,2014-01-11T04:33:52.000Z,photo nikmat indomir telor rebus manakah dustakan guyuran hujan indomie culinary,"delicious photo of Indomie boiled eggs, where is the rain of Indomie culinary",positive
"Yunita Effendi
@nitnotwho
·
Dec 16, 2013",,"Dan memang,makanan gak sehat itu emang yang paling enaaaaaak~ #indomie/Mcd.",2013-12-16T15:07:15.000Z,makanan gak sehat emang enaaaaaak indomie mcd,Unhealthy food is really delicious Indomie McD,positive
"Krispen 강유리
@chemyuri
·
Dec 28, 2013",,"= makin buncit RT 
@Atephz
: Bahagia itu sederhana, indomie kari + telur setengah mateng =9 #indomie (cont) http://tl.gd/n33d6o",2013-12-27T16:28:38.000Z,buncit rt atephz bahagia sederhana indomie kari telur mateng 9 indomie cont,buncit rt ateez happy simple indomie cooked egg curry 9 indomie cont,positive
"Dharu Kusuma Hady
@dharukusumahady
·
Dec 23, 2013",,Masak #Indomie dengan perasaan waswas...Takut gas keburu abis sebelum matang...Untung masih cukup... :),2013-12-23T00:45:04.000Z,masak indomie perasaan waswas takut gas keburu abis matang untung,"Cooking Indomie feels anxious, afraid that the gas will run out after it is cooked, luckily",negative
"Dharu Kusuma Hady
@dharukusumahady
·
Dec 20, 2013",,Masih menunggu semoga keluar varian Ramen ala Japan sama Char Kwe Tiau ala Malaysia...Soalnya demen sama versi aslinya... #Indomie,2013-12-19T20:36:30.000Z,menunggu semoga varian ramen ala japan char kwe tiau ala malaysia demen versi aslinya indomie,"Waiting, hopefully the Japanese style ramen variant, Malaysian style char kwe tiau, like the original Indomie version",positive
