full_text,time,cleaned_tweet,sentiment,textblob_sentiment
"Mari mencoba 
@myChitato
 rasa indomie ini #mychitato #chitatoindomie #indomie",2016-02-15T11:20:36.000Z,mari mencoba mychitato indomie mychitato chitatoindomie indomie,neutral,neutral
content,time,content,neutral,neutral
Hanya ini yang terbaik di kelasnya. Indomie rasa soto lamongan. #indomie,2016-07-15T11:43:07.000Z,terbaik kelasnya indomie soto lamongan indomie,positive,neutral
"Hilarious! Telenovela #Indomie Goreng rasa Kuah from  
@MullenLoweID
 #soupwithoutthesoup https://youtu.be/o4SgMvd01Y0",2016-03-02T03:11:00.000Z,hilarious telenovela indomie goreng kuah from mullenloweid soupwithoutthesoup,negative,positive
"Alhamdulillah, sudah sekian lama, akhirnya makan #Indomie goreng *lagi  https://instagram.com/p/BI9ghn4Bcy3/",2016-08-11T08:05:20.000Z,alhamdulillah sekian makan indomie goreng,positive,neutral
"Yang mau ngedapetin THR 200 rb dr Indomie, Langsung sms ke 081227919151 #unisi #indomie",2016-06-19T04:39:06.000Z,ngedapetin thr 200 rb dr indomie langsung sm 081227919151 unisi indomie,neutral,neutral
Indomie kuah  vs Indomie goreng  #mevvah #indomie #dinner #eatwithcecil @ Warung Mevvah PIK https://instagram.com/p/BIxDLctDPgl/,2016-08-06T11:57:59.000Z,indomie kuah v indomie goreng mevvah indomie dinner eatwithcecil warung mevvah pik,negative,neutral
"Waspada! Setelah #Indomie, sekarang #Kristenisasi dengan #tempe.
#satire #lol",2016-01-31T13:57:23.000Z,waspada indomie kristenisasi tempe satire lol,positive,positive
"Hasil CFD hari ini! 
#Chitato #Indomie #ChitatoHUNT

@myChitato",2016-02-14T03:47:55.000Z,hasil cfd chitato indomie chitatohunt mychitato,neutral,neutral
Godaan malam Jumat? #IndomieGoreng #TelurPindang #TruffleOil #Indomie #MilkAndCookies,2015-10-08T15:42:18.000Z,godaan malam jumat indomiegoreng telurpindang truffleoil indomie milkandcookies,negative,neutral
content,time,content,neutral,neutral
"Masaknya lama, makannya sebentar.. #INDOMIE.. Selamat pagi, jangan lupa sarapan ya MOGers..

#INDOMOG",2015-09-24T01:00:05.000Z,masaknya makannya sebentar indomie selamat pagi lupa sarapan ya mogers indomog,positive,neutral
Gaes.. Kenapa ya #indomie warungan terasa lebih enak drpd masak di rumah? Asin gurih gimana gitu #kuliner,2015-09-02T07:16:52.000Z,gaes ya indomie warungan enak drpd masak rumah asin gurih gimana gitu kuliner,positive,neutral
"Nikmatnya cuma 10 menit, ngerasa berdosanya seharian. #Indomie",2016-01-05T08:51:58.000Z,nikmatnya 10 menit ngerasa berdosanya seharian indomie,positive,neutral
lapar.. bila ingat dirimu.. #indomie,2015-11-26T03:23:43.000Z,lapar dirimu indomie,positive,neutral
Gw rasa bumbunya Indomie ngambilnya di surga.. Enak terus #Indomie #Nagih,2015-12-15T01:14:04.000Z,gw bumbunya indomie ngambilnya surga enak indomie nagih,positive,neutral
"Karakter baru, namanya #Samsul si tukang milok. Hobinya beli #Indomie kornet. #ilustrasi #doodle #coretcoretan",2015-07-15T16:26:07.000Z,karakter namanya samsul si tukang milok hobinya beli indomie kornet ilustrasi doodle coretcoretan,positive,neutral
Opo aku kudu dadi #Indomie ben iso dadi seleramu? ,2015-05-25T15:00:02.000Z,opo kudu dadi indomie ben iso dadi seleramu,neutral,neutral
Yg setuju RT :p #mie #indomie,2015-04-24T13:23:27.000Z,yg setuju rt p mie indomie,positive,neutral
content,time,content,neutral,neutral
Oyaaaaaa Shout Out si awon maami Ni Industreetz ronkeoshodioke #wossssssss com watch #Indomie #Salaro… https://instagram.com/p/60M64Fx2CI/,2015-08-25T18:01:23.000Z,oyaaaaaa shout out si awon maami ni industreetz ronkeoshodioke wossssssss com watch indomie salaro,neutral,neutral
"Yuk sebarkan debat seru ini, yang mana kamu? #teamgoreng atau #teamrebus #indomie bonusnya http://goo.gl/9ejuEq",2015-07-15T06:00:13.000Z,yuk sebarkan debat seru teamgoreng teamrebus indomie bonusnya,positive,neutral
"#Rorry_Kitchen ^__,^

#Wisata #kuliner 6 Tempat #Makan #Indomie yang #Enak Banget di #jakarta
♡ http://fb.me/6A4GHs9dm",2015-06-04T22:19:36.000Z,rorry_kitchen __ wisata kuliner 6 makan indomie enak banget jakarta,positive,neutral
SALAH BANGET search hestek #indomie di instagram jam segini ,2015-04-26T12:45:34.000Z,salah banget search hestek indomie instagram jam segini,negative,neutral
"Sarapan pagi ini dipersembahkan oleh #Indomie Taste of Asia Rasa Laksa Khas Singapura! Udah gak puasa #Indomie lagi! :D Cc: 
@fentari
 
@ndy_88",2015-05-15T00:55:48.000Z,sarapan pagi dipersembahkan indomie taste of asia laksa khas singapura udah gak puasa indomie d cc fentari ndy_88,positive,neutral
"Orang apa monster yak 
#dinner #minto #benhil #nasgor #indomie #sateayam https://instagram.com/p/6ApdYXlz0Z/",2015-08-05T17:30:10.000Z,orang monster yak dinner minto benhil nasgor indomie sateayam,neutral,neutral
Abis pasang Bendera...jd bru mau mkn siang ...Menu a + #Indomie sm #Kopiko78°C...Sederhana tp… https://instagram.com/p/6ZM4otBvBF/,2015-08-15T06:21:30.000Z,abis pasang bendera jd bru mkn siang menu a indomie sm kopiko78 c sederhana tp,positive,neutral
"Karna tertulis ini telor² bakal expired besok, maka pagi ini sarapannya makan #Indomie spesial pake 2 telor! :D #ItsCookingTime #AnakRantau",2015-06-18T01:54:34.000Z,karna tertulis telor² expired besok pagi sarapannya makan indomie spesial pake 2 telor d itscookingtime anakrantau,negative,neutral
"Menu special lebaran, yg tak terlupakan  #indomie #indomiegoreng #lebaran #idulfitri https://instagram.com/p/5UjqwoE6kk/",2015-07-19T14:32:59.000Z,menu special lebaran yg terlupakan indomie indomiegoreng lebaran idulfitri,negative,positive
"Ini apa ya warunk_upnormal ?

#instafood #indomie #noodle #kuliner https://instagram.com/p/3GvcPrx5C8/",2015-05-25T12:43:42.000Z,ya warunk_upnormal instafood indomie noodle kuliner,neutral,neutral
Kehidupan anak kos #tanggaltua #anakkos #indomie,2015-01-31T00:35:39.000Z,kehidupan anak ko tanggaltua anakkos indomie,negative,neutral
E ma ji jo mi oo.. Ke ma lo bi ti indomie ooo... #Indomie nyc jam MasterKraft Ft Olamide,2015-03-27T11:46:43.000Z,e ma ji jo mi oo ma lo bi ti indomie ooo indomie nyc jam masterkraft ft olamide,positive,neutral
#BerburuiKupon 1) Belanja minimal Rp 10Rb produk #Indomie JagonyaSoto dapatkan kode iKupon di ekor struk.,2015-03-09T09:00:18.000Z,berburuikupon 1 belanja minimal rp 10rb produk indomie jagonyasoto dapatkan kode ikupon ekor struk,positive,negative
"Makan siang dengan #indomie, setidaknya itu produk nasional, tdk seperti Proton",2015-02-07T11:45:40.000Z,makan siang indomie produk nasional tdk proton,positive,neutral
content,time,content,neutral,neutral
"Ah, 2 hari berturutan makan #Indomie sebagai 'cemilan' sore...Delicious? Yes! Healthy? No! #AnakRantau",2015-03-26T09:03:22.000Z,ah 2 berturutan makan indomie cemilan sore delicious yes healthy no anakrantau,neutral,positive
Masak #Indomie rasa Soto Banjar Limau Kulit sambil 'maenan' mesin cuci itu #AnakRantau banget... :D,2015-03-04T15:10:51.000Z,masak indomie soto banjar limau kulit maenan mesin cuci anakrantau banget d,neutral,neutral
Apa mau dikata tiba laper lagi  #supper #indomie #foods #foodie #foodporn #instafood http://instagram.com/p/zFrZOEwWBS/,2015-02-14T16:43:31.000Z,dikata laper supper indomie food foodie foodporn instafood,neutral,neutral
"Apakah kamu ""warga dunia"" tapi masih ngiler membayangkan #indomie di waktu hujan? http://bit.ly/jrnlsltn #Selatan",2015-02-14T09:00:19.000Z,warga dunia ngiler membayangkan indomie hujan selatan,neutral,neutral
"Kombinasi pas tengah malam, teh poci featuring indomie goreng telor. Yummy!

#indomie #seminyak #bali #supper",2015-02-25T15:19:33.000Z,kombinasi pa malam teh poci featuring indomie goreng telor yummy indomie seminyak bali supper,negative,neutral
Indomi-nus Rex? #Indomie,2015-01-30T15:47:58.000Z,indomi nu rex indomie,neutral,neutral
"Rangga? Cinta? Ke 
@warunk_upnormal
 yuuuuk tangga 12 November 2014, Free #indomie & es teh manis loooh",2014-11-10T06:37:15.000Z,rangga cinta warunk_upnormal yuuuuk tangga 12 november 2014 free indomie e teh manis loooh,positive,positive
Hujan gini seleraku ya #Indomie :),2014-11-19T16:38:22.000Z,hujan gini seleraku ya indomie,positive,neutral
"Ntalala njaa “
@super_faker
: #WifeMaterial ndo napika #indomie for super”",2014-10-30T19:14:55.000Z,ntalala njaa super_faker wifematerial ndo napika indomie for super,positive,positive
"Love to find pics of me! (not my pic) Nah kalo ini menu makanannya kakak..
Harganya pelajar bgt..
#siomay #tempura #indomie #kakinaga #so...",2015-01-03T11:50:45.000Z,love to find pic of me not my pic kalo menu makanannya kakak harganya pelajar bgt siomay tempura indomie kakinaga so,positive,positive
"#turnup ema ji jo mi o kema lo bi ti #indomie #indomie #indomie 
@olamide_YBNL
 #masterkraft cdq ye ye",2014-11-13T10:45:55.000Z,turnup ema ji jo mi o kema lo bi ti indomie indomie indomie olamide_ybnl masterkraft cdq ye ye,positive,neutral
Sarapan pagi ini #indomie #goreng & teh panas  http://instagram.com/p/vHz61VxpZo/,2014-11-08T02:30:55.000Z,sarapan pagi indomie goreng teh panas,positive,neutral
"Shama ji jo mi o... #Indomie cc 
@masterkraft_
 #BadBoss",2014-12-13T14:10:48.000Z,shama ji jo mi o indomie cc masterkraft_ badboss,positive,neutral
The dark side of akhir bulan #indomie,2014-11-28T17:26:13.000Z,the dark side of indomie,neutral,negative
content,time,content,neutral,neutral
"Di 
@MEE_Time
  ada #indomie goreng/rebus,roti bakar, kopi hitam, aneka juss dll! #kulinercirebon """,2014-11-02T03:12:30.000Z,mee_time indomie goreng rebus roti bakar kopi hitam aneka juss dll kulinercirebon,negative,neutral
"kalau ada #Indomie sama 
@SambalABC
 aman mi itu.. hihi mari makaaann",2014-11-28T17:45:14.000Z,indomie sambalabc aman mi hihi mari makaaann,positive,neutral
"Hasil #Monitoring http://katapedia.co.id tgl 24nov - 6des #brand #indomie Total buzz #twitter 502 
@indomielovers",2014-12-10T15:33:17.000Z,hasil monitoring tgl 24nov 6des brand indomie total buzz twitter 502 indomielovers,neutral,neutral
Seperti pagi ini dimana sarapan pake #Indomie mi instant Soto Banjar Limau Kulit khas Kalimantan Selatan... :D #AnakRantau #ItsCookingTime,2014-12-02T23:05:46.000Z,pagi dimana sarapan pake indomie mi instant soto banjar limau kulit khas kalimantan selatan d anakrantau itscookingtime,positive,neutral
"Mirip kan?
#mixdinner #mixdiner #indomieseleraku #indomie #indomiemiripasli #nomnom… http://instagram.com/p/wHQCsIiBar/",2014-12-02T17:48:48.000Z,mixdinner mixdiner indomieseleraku indomie indomiemiripasli nomnom,positive,neutral
Yummy makan indomie  #indomie lagi pengeen #likeforlike #likeforfollow #instavideo… http://instagram.com/p/xZz2nCl47p/,2015-01-03T19:19:27.000Z,yummy makan indomie indomie pengeen likeforlike likeforfollow instavideo,neutral,neutral
#Indomie rasa Soto Lamongan. Baru sekali ini nyicip. Ada pelengkap : ayam n seledri kering jg bubuk koya,2014-08-21T12:53:25.000Z,indomie soto lamongan nyicip pelengkap ayam n seledri kering jg bubuk koya,negative,neutral
"Hayooo ngakuuu uda makan brp #indomie minggu iniiii  | 

#food #noodle",2014-09-05T16:17:07.000Z,hayooo ngakuuu uda makan brp indomie minggu iniiii food noodle,neutral,neutral
"Yuk makan lagi! 
@PergiDulu
 
@lohsharon
 - with 
@kitajimaland
 
@Ardiduck
 #indomie #food",2014-08-29T16:28:10.000Z,yuk makan pergidulu lohsharon with kitajimaland ardiduck indomie food,negative,neutral
content,time,content,neutral,neutral
"Yuk makan lagi! 
@PergiDulu
 
@lohsharon
 - with 
@kitajimaland
 
@Ardiduck
 #indomie #food",2014-08-29T16:28:10.000Z,yuk makan pergidulu lohsharon with kitajimaland ardiduck indomie food,negative,neutral
Beda itu memisahkan..dari cinta menjadi benci #indomie ,2014-08-15T02:18:21.000Z,beda memisahkan cinta benci indomie,positive,neutral
Ini ceritaku mana ceritamu #Indomie ,2014-09-27T07:22:30.000Z,ceritaku ceritamu indomie,neutral,neutral
Bersama #Indomie hadirkan kebersamaan ditengah perbedaan*,2014-08-10T14:09:48.000Z,indomie hadirkan kebersamaan ditengah perbedaan,positive,neutral
"Bhinneka tunggal rasa.
Berbeda-beda tp satu selera.   
#Indomie",2014-08-09T01:44:19.000Z,bhinneka tunggal berbeda beda tp selera indomie,negative,neutral
"Hidup itu seperti minyak dan air, walaupun susah bersatu tapi tetap berdampingan #indomie",2014-08-29T23:58:45.000Z,hidup minyak air susah bersatu berdampingan indomie,positive,neutral
"With septa_afriyani @yuniyaniarti 
@hafilahalaini
 
@riindhawae
 dewi #indofood #indomie #seleranusantara… http://instagram.com/p/tpqBtmPSmJ/",2014-10-02T12:55:52.000Z,with septa_afriyani yuniyaniarti hafilahalaini riindhawae dewi indofood indomie seleranusantara,neutral,neutral
"Tetiba abis mandi malah malas buat belanja karna inget semalam udah beli #Indomie varian baru, rasa dendeng balado & soto Lamongan! :D",2014-09-09T22:59:14.000Z,tetiba abis mandi malas belanja karna inget semalam udah beli indomie varian dendeng balado soto lamongan d,positive,neutral
"""Komplit itu saat air dan minyak saling berdampingan #indomie RT 
@denhy_p
: Komplit tu saling melengkapi bukan beb?",2014-09-22T16:23:04.000Z,komplit air minyak berdampingan indomie rt denhy_p komplit tu melengkapi beb,positive,neutral
"Wah, ada yang pernah nyoba juga ga? RT @arianti24: Alhamdulillah Selamat makan! 
@Indomielovers
 
#Indomie  #SatePadang https://pic.x.com/bptrwrtqln",2014-08-14T04:22:19.000Z,nyoba ga rt arianti24 alhamdulillah selamat makan indomielovers indomie satepadang,positive,neutral
Masak #Indomie aja ah buat sarapan pagi ini...Hitung² berhemat! Wuihihi... :p #ItsCookingTime,2014-09-09T22:59:57.000Z,masak indomie aja ah sarapan pagi hitung² berhemat wuihihi p itscookingtime,positive,neutral
"Perbadaan itu, sperti Air & Minyak .. 
sulit bersatu, namun bisa brdmpingan ..

#Indomie. :-D",2014-08-26T23:58:51.000Z,perbadaan sperti air minyak sulit bersatu brdmpingan indomie d,positive,neutral
soundtrack iklan #Indomie ada yg tau ga yah apa?,2014-09-21T08:28:48.000Z,soundtrack iklan indomie yg tau ga yah,neutral,neutral
Satnight.. ya makan yg beginian #Indomie #bulgogi #tasteofasia  [pic] — https://path.com/p/4pKqL3,2014-09-13T11:41:45.000Z,satnight ya makan yg indomie bulgogi tasteofasia pic,neutral,neutral
Apa aku haruz jadii #indomie biar jadi seleramu,2014-10-14T06:26:09.000Z,haruz jadii indomie biar seleramu,neutral,neutral
Cinta produk Indonesia #vscocam #foodporn #indomie #indonesia #noodle http://instagram.com/p/r3K3WSju4S/,2014-08-19T01:50:08.000Z,cinta produk indonesia vscocam foodporn indomie indonesia noodle,positive,neutral
"Serupuuuut #indomie pakai #CADAS
Thank youuu yaa :) 

#breakfast #sarapanpagi #maksi #makansiang… http://instagram.com/p/r3nEiRERxz/",2014-08-19T05:56:37.000Z,serupuuuut indomie pakai cadas thank youuu yaa breakfast sarapanpagi maksi makansiang,negative,neutral
"Untuk mereka yang sibuk mencari cara memaknai arti hidup, cobalah untuk berbagi. #indomie #seleraku",2014-08-19T18:34:30.000Z,sibuk mencari memaknai arti hidup cobalah berbagi indomie seleraku,positive,neutral
Engkau lah pahlawan ku disaat aku lapar #intel #indomie #telor,2014-04-06T10:35:36.000Z,engkau pahlawan ku disaat lapar intel indomie telor,positive,neutral
Sponsor Bola World Cup #indomie tp gw tetep pilih Mie Sedaap Kari Ayam artinya beriklan di #antv n #tvone gk efektif,2014-06-17T18:27:05.000Z,sponsor bola world cup indomie tp gw tetep pilih mie sedaap kari ayam beriklan antv n tvone gk efektif,positive,neutral
content,time,content,neutral,neutral
*ceritane megap-megap lan irung mellerrr kepedesen mangan kiye* #indomie #bulgogi #dinner #caberawit,2014-02-16T14:03:26.000Z,ceritane megap megap lan irung mellerrr kepedesen mangan kiye indomie bulgogi dinner caberawit,neutral,neutral
Terbayar sudah kerinduanku pada #indomie goreng sambel ijo. Selama di LN susah nemunya.skrg puas bgt 2 bungkus sxgus,2014-04-05T04:00:59.000Z,terbayar kerinduanku indomie goreng sambel ijo ln susah nemunya skrg puas bgt 2 bungkus sxgus,positive,neutral
#Indomie alata,2014-02-22T17:33:28.000Z,indomie alata,neutral,neutral
"Rumah rasa kost, mie apa aja ada -__- #indomie http://instagram.com/p/kFF2U9mPN1/",2014-02-06T15:24:32.000Z,rumah kost mie aja __ indomie,neutral,neutral
Sarapan makanan Indonesia Raya dulu. #Indomie,2014-03-29T01:12:46.000Z,sarapan makanan indonesia raya indomie,positive,neutral
Lapar sama nafsu itu beda tipis yaa. (Abiz nostalgia sama #indomie ngabisin mie goreng 2 bungkus sendiri) ,2014-02-12T12:41:45.000Z,lapar nafsu beda tipi yaa abiz nostalgia indomie ngabisin mie goreng 2 bungkus,negative,neutral
Indomie Goreng :9 #Indomie #Goreng #Indonesia #Food #MSG #Delicious http://instagram.com/p/lUjpJullsT/,2014-03-09T12:04:52.000Z,indomie goreng 9 indomie goreng indonesia food msg delicious,negative,positive
Mari Meng-Indomie... *Makan #Indomie kawan-kawan... :),2014-03-27T14:50:51.000Z,mari meng indomie makan indomie kawan kawan,negative,neutral
Akhirnya dh lama ga mkn mie goreng indomie hihi..  #latepost #eat #hungry #indomie #miegoreng… http://instagram.com/p/mCidnkhNcq/,2014-03-27T08:39:38.000Z,dh ga mkn mie goreng indomie hihi latepost eat hungry indomie miegoreng,negative,neutral
"Kalau ketemu bagian promosi #indomie, bisa di jadiin bintang utama sy in, scra mencintai #indomie tk terhingga, sdh 1 mgg menu sy #indomie",2014-01-30T13:22:00.000Z,ketemu promosi indomie jadiin bintang utama sy in scra mencintai indomie tk terhingga sdh 1 mgg menu sy indomie,positive,neutral
New sensation hipster food sebelum jadi mainstream serious nanti jadi mainstream percayalah. #indomie… http://instagram.com/p/l7rQMMM1xQ/,2014-03-24T16:41:46.000Z,new sensation hipster food mainstream serious mainstream percayalah indomie,neutral,negative
Kerupuk putih 2 pake saus sambel! #laper tanpa #indomie,2014-01-28T18:33:12.000Z,kerupuk putih 2 pake saus sambel laper indomie,negative,neutral
"mie persis bungkus nya nihh guys 
@TELAPI12
 #ayambawang #indomie http://instagram.com/p/k1Aaw8Efwq/",2014-02-25T06:00:37.000Z,mie persis bungkus nya nihh guy telapi12 ayambawang indomie,negative,neutral
Blom dikasih judul! #indomie #love #food http://instagram.com/p/lFvQffSHIj/,2014-03-03T17:57:46.000Z,blom dikasih judul indomie love food,negative,positive
Iga iga apa yang ga enak ? iiii gantung . Muahahahaa #iklan #indomie,2014-02-06T00:34:30.000Z,iga iga ga enak iiii gantung muahahahaa iklan indomie,positive,neutral
Resiko ditinggal mamake #Indomie,2014-03-09T03:42:39.000Z,resiko ditinggal mamake indomie,neutral,neutral
Foooood! #Food #Noodles #IndoMie #Hunger @ Allama Iqbal Town http://instagram.com/p/la92uNw8nH/,2014-03-11T23:49:22.000Z,foooood food noodle indomie hunger allama iqbal town,negative,neutral
Dingin dingin nyarap mie. Gpp deh ya~~ #indomie#indomierasaayam#chicken#instafood http://instagram.com/p/kOFMsGx8hl/,2014-02-10T03:12:00.000Z,dingin dingin nyarap mie gpp deh ya indomie indomierasaayam chicken instafood,negative,negative
Namie Goreng Iga Penyet :D menu kreasi dari #Indomie #IgaPenyet #Makan #Malam #Masak #Namie #Wareg http://instagram.com/p/j7ZaRDGTMH/,2014-02-02T21:03:04.000Z,namie goreng iga penyet d menu kreasi indomie igapenyet makan malam masak namie wareg,negative,neutral
mie merubah segalanya termasuk??? Ndutt-o-   #indomie @ irigasi http://instagram.com/p/lh3VfZldhB/,2014-03-14T16:07:05.000Z,mie merubah ndutt o indomie irigasi,positive,neutral
persiapan streaming sendirian #juve #AnakKost #Ultras #indomie #Beer #Gue #GaJELAS !!,2014-01-05T19:20:31.000Z,persiapan streaming juve anakkost ultras indomie beer gue gajelas,positive,neutral
content,time,content,neutral,neutral
Mikope(mie kol pedas)mnu sdrhna nikmatx luar biasa ala chef tata #indomie goreng,2013-12-26T13:36:51.000Z,mikope mie kol pedas mnu sdrhna nikmatx ala chef tata indomie goreng,positive,neutral
"icip kaks RT 
@timothywpawiro
: Masak #indomie aja heboh tapi #enak nih!! Selamat makan!! #cooking #noodle",2014-01-02T16:35:37.000Z,icip kaks rt timothywpawiro masak indomie aja heboh enak nih selamat makan cooking noodle,positive,neutral
Photo: Nikmat indomir telor rebus manakah yang kamu dustakan di tengah guyuran hujan? #indomie #culinary... http://tmblr.co/ZRLOMy13xctci,2014-01-11T04:33:52.000Z,photo nikmat indomir telor rebus manakah dustakan guyuran hujan indomie culinary,positive,neutral
"Dan memang,makanan gak sehat itu emang yang paling enaaaaaak~ #indomie/Mcd.",2013-12-16T15:07:15.000Z,makanan gak sehat emang enaaaaaak indomie mcd,positive,neutral
"= makin buncit RT 
@Atephz
: Bahagia itu sederhana, indomie kari + telur setengah mateng =9 #indomie (cont) http://tl.gd/n33d6o",2013-12-27T16:28:38.000Z,buncit rt atephz bahagia sederhana indomie kari telur mateng 9 indomie cont,positive,neutral
Masak #Indomie dengan perasaan waswas...Takut gas keburu abis sebelum matang...Untung masih cukup... :),2013-12-23T00:45:04.000Z,masak indomie perasaan waswas takut gas keburu abis matang untung,positive,neutral
Masih menunggu semoga keluar varian Ramen ala Japan sama Char Kwe Tiau ala Malaysia...Soalnya demen sama versi aslinya... #Indomie,2013-12-19T20:36:30.000Z,menunggu semoga varian ramen ala japan char kwe tiau ala malaysia demen versi aslinya indomie,positive,neutral
"Udah ngerasain semua ketiga varian #Indomie Taste of Asia & semuanya enak! Tom Yum ala Thailand, Laksa ala Singapore, & Bulgogi ala Korea!",2013-12-19T20:35:31.000Z,udah ngerasain ketiga varian indomie taste of asia enak tom yum ala thailand laksa ala singapore bulgogi ala korea,positive,neutral
"Maknyusss ini sungguh sungguh sangat sekali..
#indomie #kalduayam #seleraku (at BUMI RAYA GROUP Building) [pic] — https://path.com/p/1339qt",2014-01-07T11:17:57.000Z,maknyusss sungguh sungguh indomie kalduayam seleraku at bumi raya group building pic,positive,neutral
#indomie#mikeritinggorengspesial http://instagram.com/p/jTAWWKx8nj/,2014-01-18T04:34:27.000Z,indomie mikeritinggorengspesial,negative,neutral
"Di #Alfamart banyak koq itu #Indomie Taste of Asia... RT 
@sherlynoviana
: dimandose tuh belinya bang?",2013-12-30T16:46:44.000Z,alfamart koq indomie taste of asia rt sherlynoviana dimandose tuh belinya bang,positive,neutral
#Indomie seleraku.,2013-11-19T09:03:25.000Z,indomie seleraku,positive,neutral
Mari memasak...#indomie :D,2013-11-24T06:34:08.000Z,mari memasak indomie d,positive,neutral
Indomie seleraku :) #halifax #canada #indomie #indofood,2013-10-28T17:54:24.000Z,indomie seleraku halifax canada indomie indofood,positive,neutral
"Ba ilang tdi ng jems.. RT 
@Nicky_Fernando
: Mari memasak...#indomie :D",2013-11-24T06:38:06.000Z,ba ilang tdi ng jem rt nicky_fernando mari memasak indomie d,positive,neutral
content,time,content,neutral,neutral
Menu spesial buatan Ibu sore ini: Mie Rebus Gule Sapi :9 #indomie #kreasi,2013-10-22T09:33:49.000Z,menu spesial buatan sore mie rebus gule sapi 9 indomie kreasi,negative,neutral
Indomie : masih seleraku...... #dinner #indonesianfood #indomie #noodle #rendang http://instagram.com/p/gqYyr2refI/,2013-11-13T16:57:54.000Z,indomie seleraku dinner indonesianfood indomie noodle rendang,positive,neutral
sahabat di kala hujan  #food #indomie #seleraku #mie #kariayam #telur #endes_mak #perfect #buat… http://instagram.com/p/hattq4t5oG/,2013-12-02T11:24:32.000Z,sahabat hujan food indomie seleraku mie kariayam telur endes_mak perfect,positive,positive
"Yah Indomie Lagi, Indomie Lagi :-O #indonesianfood #indomie #noodle #dinner #bukapuasa http://instagram.com/p/gs-qMeLeUv/",2013-11-14T17:07:23.000Z,yah indomie indomie o indonesianfood indomie noodle dinner bukapuasa,positive,neutral
Duo jumbo #indomie hesviandrisetya #indomiemania http://instagram.com/p/fUKWjVHuPm/,2013-10-11T05:17:22.000Z,duo jumbo indomie hesviandrisetya indomiemania,neutral,neutral
Dinner dadakan.. Oh my... #mydish #indomie http://instagram.com/p/gnrFtioaRL/,2013-11-12T15:38:58.000Z,dinner dadakan oh my mydish indomie,neutral,neutral
"Menikmati #Indomie Taste of Asia, Mi Kuah Rasa Tom Yum ala Thailand...Serasa terbang ke negeri gajah putih...*Lebay... :D",2013-12-01T10:01:09.000Z,menikmati indomie taste of asia mi kuah tom yum ala thailand serasa terbang negeri gajah putih lebay d,positive,neutral
Makan #indomie kak. haha RT @giskerina: Mual -_-,2013-11-26T17:57:00.000Z,makan indomie kak haha rt giskerina mual _,neutral,positive
"Adekkkk -....--@novimarwah11: pengen indomie rasa semur jengkol (˘̩̩̩.˘̩̩̩ƪ) #indomie""",2013-11-01T10:49:21.000Z,adekkkk novimarwah11 pengen indomie semur jengkol ƪ indomie,positive,neutral
"Bikin sarapan dulu ah, lapar! :D #AnakRantau #Indomie #ItsCookingTime",2013-11-19T00:31:56.000Z,bikin sarapan ah lapar d anakrantau indomie itscookingtime,negative,neutral
"Memang kak~ hihi :9 RT 
@dillaharani
: Kyknya enak tu wa :D (ˆڡˆ) RT neirahiwa: Mie Rebus Gule Sapi :9 #indomie #kreasi",2013-10-22T10:03:20.000Z,kak hihi 9 rt dillaharani kyknya enak tu wa d ˆڡˆ rt neirahiwa mie rebus gule sapi 9 indomie kreasi,positive,neutral
#indomie ini patut dicoba loh! Thx Indomie menyelamatkan perut saya pagi ini. [pic] — https://path.com/p/1Xzen5,2013-11-26T19:55:52.000Z,indomie patut dicoba loh thx indomie menyelamatkan perut pagi pic,positive,neutral
Ahh.. telat mang.. tos beres hiji. cloter 2 atuh.. :P haha RT @sekarangewok: hiji mang haha RT MalauSay Laperrr... *Terfikir untuk #Indomie.,2013-12-03T17:27:10.000Z,ahh telat mang tos beres hiji cloter 2 atuh p haha rt sekarangewok hiji mang haha rt malausay laperrr terfikir indomie,neutral,positive
"Akhirnya beli #Indomie rasa vegan dan sate. Kalau dicampur enak nggak ya 
@IndomieLovers
 :P",2013-11-23T11:20:10.000Z,beli indomie vegan sate dicampur enak nggak ya indomielovers p,positive,neutral
"Hahahahahahahaha""
@IceKID777
: 
@temgold
 *Wetin Yuu sabi Cook sef #Indomie""",2013-10-01T13:58:17.000Z,hahahahahahahaha icekid777 temgold wetin yuu sabi cook sef indomie,neutral,neutral
"Di jakarta..tadi nemu gitu di instagram hehehe""
@brigitaput
: Emg km dimanaa ""
@Anindhitaputri
:  #WTH! #indomie """"",2013-09-22T06:29:43.000Z,jakarta nemu gitu instagram hehehe brigitaput emg km dimanaa anindhitaputri wth indomie,positive,neutral
My younger bro can consume 2 hungry man packs of #Indomie am S̶̲̥̅Ơ̴̴̴̴̴̴͡ proud of him ,2013-09-03T09:08:58.000Z,my younger bro can consume 2 hungry man pack of indomie am s ơ proud of him,positive,positive
"RT 
@mooeilicious
 Siapa yang bisa tahan godaan kalo ada makanan ini? #indomie #mooei http://bit.ly/1h0y1pI",2013-09-25T14:54:25.000Z,rt mooeilicious tahan godaan kalo makanan indomie mooei,positive,neutral
content,time,content,neutral,neutral
"Di jakarta..tadi nemu gitu di instagram hehehe""
@brigitaput
: Emg km dimanaa ""
@Anindhitaputri
:  #WTH! #indomie """"",2013-09-22T06:29:43.000Z,jakarta nemu gitu instagram hehehe brigitaput emg km dimanaa anindhitaputri wth indomie,positive,neutral
